,index,Lat,Lngs,City,Country,Max Temp,Humidity,Clouds,Wind Speed
97,128,73.71915989521082,133.24731698809677,nizhneyansk,ru,,,,
98,131,52.47,1.45,broome,au,57.2,62,0,11.41
99,132,50.33,26.52,ostroh,ua,50.34,83,88,7.99
100,133,37.17,-99.65,sitka,us,87.42,42,8,19.51
101,135,15.79,120.99,san jose,gt,71.04,100,56,1.95
102,138,19.77,-89.85,hopelchen,mx,84.2,74,40,3.74
103,139,-33.64,115.35,busselton,au,53.58,100,8,20.18
104,141,-19.93,-60.77,mayor pablo lagerenza,py,76.35,69,0,4.63
105,143,11.74,-2.93,boromo,bf,79.5,77,0,2.51
106,144,46.37,-82.65,elliot lake,ca,53.6,71,20,5.82
107,145,39.95,-94.76,kodiak,us,86,55,75,10.29
108,146,66.15,-65.72,pangnirtung,ca,26.6,68,20,3.36
109,147,-25.41,-70.49,taltal,cl,70.5,66,0,3.62
110,149,-6.325129876571225,175.4599318537238,lolua,tv,,,,
111,152,-13.71,-76.2,pisco,pe,71.6,30,0,8.05
112,153,6.19,-67.49,puerto carreno,co,89.6,59,20,2.95
113,154,69.3,139.9,deputatskiy,ru,25.68,89,88,11.12
114,155,17.54,120.52,san quintin,mx,77,78,20,4.7
115,156,89.0618106726644,-8.834063742471528,illoqqortoormiut,gl,,,,
116,157,-17.73,-149.15,tautira,pf,80.6,57,40,12.75
117,158,28.97,50.84,bushehr,ir,87.8,62,0,4.7
118,162,43.32,145.57,nemuro,jp,61.05,95,20,14.03
119,164,-10.16,123.6,kupang,id,76.8,94,8,11.79
120,167,64.17,-51.74,nuuk,gl,37.4,74,75,11.41
121,169,37.14,-8.45,lagoa,pt,71.6,94,20,5.82
122,170,51.61,-3.54,wyndham,nz,59,87,36,14.99
123,171,14.5,79.99,kovur,in,77.34,89,20,2.73
124,172,87.45615362948692,40.29110303909857,tumannyy,ru,,,,
125,173,-54.07252747880042,49.89420390800237,tsihombe,mg,,,,
126,177,-0.92,100.36,padang,id,81.21,100,24,0.94
127,178,-46.13,167.69,tuatapere,nz,45.03,100,12,13.91
128,181,-22.97,-42.02,arraial do cabo,br,86,66,0,9.17
129,182,59.1,26.19,vao,nc,44.13,96,44,7.87
130,183,58.3,-134.42,juneau,us,48.92,10,75,10.29
131,184,39.31,-74.98,port elizabeth,za,80.96,66,1,8.05
132,185,-24.709941373055045,71.3542717492144,grand river south east,mu,,,,
133,186,22.89,-109.91,cabo san lucas,mx,91.4,70,40,8.05
134,188,45.36,-73.48,saint-philippe,re,53.06,93,90,8.05
135,192,41.42,-6.55,saldanha,za,56.1,45,0,8.21
136,193,-12.951667256478686,-62.02500312730568,rolim de moura,br,,,,
137,194,46.22,10.17,tirano,it,41,86,75,2.24
138,196,67.46,153.71,srednekolymsk,ru,26.85,90,20,5.41
139,197,-2.67,141.3,vanimo,pg,84.54,100,0,9.78
140,198,-0.6,73.08,hithadhoo,mv,81.93,100,8,16.6
141,199,-5.56,-80.82,sechura,pe,71.85,85,0,12.12
142,201,35.74,139.53,nishihara,jp,68,78,20,4.7
143,202,-33.21,138.6,jamestown,sh,56.55,95,88,6.98
144,204,-9.513992566680656,176.64870239012322,asau,tv,,,,
145,205,71.98,102.47,khatanga,ru,29.64,93,68,4.63
146,206,-20.63,-46.0,ponta do sol,cv,77.43,65,12,2.28
147,207,50.1,-91.92,sioux lookout,ca,48.2,81,90,8.05
148,208,71.97,114.09,saskylakh,ru,24.33,94,64,3.96
149,209,36.57429222792045,23.19414415505895,yefira,gr,,,,
150,210,30.78,78.62,lata,sb,45.75,81,0,2.51
151,213,12.76,76.06,arkalgud,in,72.12,87,88,1.28
152,214,50.56,-96.99,husavik,is,40.98,100,92,10
153,215,31.35,27.25,marsa matruh,eg,77,73,20,8.05
154,216,66.14528559838476,54.19164948343075,shchelyayur,ru,,,,
155,219,26.33,43.97,buraydah,sa,84.2,25,0,4.7
156,227,21.14,105.5,son tay,vn,73.4,78,92,2.24
157,228,44.83,-0.61,saint-augustin,ca,57.2,71,90,3.36
158,229,20.87,-156.68,lahaina,us,86,61,20,4.7
159,230,36.06,14.2,san lawrenz,mt,64.4,88,20,3.36
160,232,32.38,15.09,misratah,ly,70.32,100,8,7.99
161,235,67.53622348370547,143.59609698185847,khonuu,ru,,,,
162,238,18.69,12.92,bilma,ne,89.22,20,68,6.53
163,241,53.14,59.15,svetlogorsk,ru,39.2,64,44,2.24
164,242,-36.0,146.39,corowa,au,53.6,87,68,2.24
165,245,-13.457896686025322,97.32051960580935,bengkulu,id,,,,
166,246,80.70887531158334,54.20096843971319,belushya guba,ru,,,,
167,248,17.89,-77.59,bull savanna,jm,79.77,79,80,5.19
168,249,-35.36,150.48,ulladulla,au,53.6,81,0,1.12
169,251,69.38,178.42,leningradskiy,ru,41.7,88,68,15.7
170,252,-1.920479152587589,-169.2013402686064,saleaula,ws,,,,
171,257,69.1585933899238,59.352365565254814,amderma,ru,,,,
172,258,68.82,-51.19,qasigiannguit,gl,30.2,46,20,5.82
173,262,24.63,46.72,riyadh,sa,80.6,15,0,2.24
